,pubmedID,ArticleTitle,AbstractText,PubYear,PubMonth
13,10332990,Pulmonary edema during acute infusion of epoprostenol in a patient with pulmonary hypertension and limited scleroderma.,"Epoprostenol (prostacyclin) is currently approved for treatment of primary pulmonary hypertension; however, it is being evaluated in other forms of pulmonary hypertension, particularly scleroderma. Side effects associated with this medication are usually minor; serious complications are most often due to the delivery system required for continuous infusion. We describe a life threatening side effect of acute epoprostenol infusion (pulmonary edema) in a patient with pulmonary hypertension associated with limited scleroderma and discuss its management and potential etiology. This is the first case where epoprostenol has been successfully reinstituted.",1999,5
14,10337682,Adverse reaction to prednisone in a patient with systemic lupus erythematosus.,"Oral corticosteroids are the main therapeutic choice for systemic lupus erythematosus (SLE). Adverse reactions to systemic corticosteroids rarely occur and the etiology is unclear in most cases. A 14-year-old girl with newly diagnosed SLE developed a pruritic bullous eruption while on prednisone. The patient had been treated successfully in the hospital with intravenous methylprednisolone. In preparation for discharge, the steroid preparation was changed to prednisone to which the patient reacted with a development of new crops of bullous lesions. Skin biopsy specimens of lesional areas showed a bullous eruption consistent with erythema multiforme. The patient underwent immediate and delayed hypersensitivity tests. Intradermal and patch tests to liquid prednisone were positive. The patient was discharged on oral methylprednisolone and has not had recurrence of the skin lesions. In conclusion, a case of prednisone sensitivity in a patient with SLE is presented here. An alternative preparation, methylprednisolone, was used to successfully treat her underlying condition.",0,0
15,10348150,Hydroxyurea-induced acute interstitial pneumonitis in a patient with essential thrombocythemia.,"Hydroxyurea is a drug widely used to control myeloproliferative disorders, due in part to its relative lack of severe side effects. We present a case of acute interstitial pneumonitis in a patient who was treated with hydroxyurea for essential thrombocythemia. The clinical course suggests that the interstitial pneumonitis was induced by hydroxyurea. This is the first case of hydroxyurea-induced acute interstitial pneumonitis reported in the literature.",1999,4
16,10357715,Allergic and irritant contact dermatitis to calcipotriol.,"Calcipotriol (Daivonex R; Leo Pharmaceuticals, Zurich, Switzerland) may cause irritation of the skin, whereas allergic reactions are less common. In the present study we describe two patients with different types of reaction patterns, one presenting as an allergic, the other as an irritant contact dermatitis. Irritative skin reactions were observed only at higher testings doses, in contrast to the allergic type of reaction, which occurred at a lower testing dose. The present observation suggests, that a batch of different testing doses, including lower testing doses may help to differentiate between an allergic type of contact dermatitis and an irritant type of reaction after treatment with calcipotriol.",1999,6
17,10367184,Myotonia associated with sarcoidosis: marked exacerbation with pravastatin.,"A 37-year-old man with sarcoidosis developed severe electrical and clinical myotonia while taking pravastatin for hypercholesterolemia. Myotonia associated with sarcoidosis is rare. Pravastatin is associated with myotonia in animals. This case suggests that sarcoidosis and pravastatin, two entities not frequently associated with myotonia, may interact in a synergistic manner to produce severe clinical myotonia in humans.",0,0
18,10393393,Aspirin sensitivity: the role for aspirin challenge and desensitization in postmyocardial infarction patients.,"Aspirin is one of the world's most commonly used medications and its use benefits many diverse conditions. Adverse reactions, however, are relatively common as well. Hypersensitivity to aspirin can be manifested as acute asthma, urticaria and/or angioedema, or a systemic anaphylactoid reaction. We report 3 cases in whom aspirin was indicated for secondary prophylaxis of myocardial infarction but in whom a remote history of an untoward reaction to it prevented its initial use. These patients all underwent further evaluation of their pulmonary and allergic history and all 3 were challenged with aspirin. Two patients were found not to be sensitive and started on aspirin, the other had a classic asthmatic reaction to the drug and was successfully desensitized to aspirin allowing for its use.",1999,0
19,10395123,Fixed drug eruption in hands caused by omeprazole.,"Omeprazole is one of the most widely prescribed gastric antisecretory drugs. It is generally well tolerated and significant adverse reactions occur rarely. The objective of this report is to describe a case of fixed drug eruption that occurred during omeprazole treatment.
A 37-year-old white female patient admitted with epigastric pain and heartburn symptoms. An upper gastrointestinal endoscopy revealed reflux esophagitis and the patient was given 20 mg b.i.d. omeprazole. She developed dark-red coloration on her hands, at the fourth day of treatment, which has been defined as fixed drug eruption. These lesions were attributed to treatment and recurred soon after a rechallenge with omeprazole.
Fixed drug eruption is associated with many drugs but this is the first such report with omeprazole. We suggest being aware of such reactions during omeprazole usage.",1999,6
20,10405480,Acute generalized exanthematous pustulosis induced by salazosulfapyridine in a patient with ulcerative colitis.,"We report a case of acute generalized exanthematous pustulosis (AGEP) induced by salazosulfapyridine in a patient with ulcerative colitis. A 26-year-old Japanese man, who had been receiving medical attention for ulcerative colitis for one year, presented with diffuse erythema and pustules on his face and trunk, malaise, and fever up to 39 degrees C one day after the administration of salazosulfapyridine. A skin biopsy specimen disclosed intracorneal pustule composed of neutrophils and lymphohistiocytic infiltrate in the dermis. A drug lymphocyte stimulation test for salazoslufapyridine was positive, but the patch test was negative. Immunological mechanisms are suggested in the pathogenesis of psoriasis and ulcerative colitis. We suspect that a similar immunological pathway played a role in the pathogenesis of AGEP appearing in psoriasis and ulcerative colitis.",1999,6
21,10410183,Marked elevation of serum creatine kinase associated with olanzapine therapy.,"To report a case of marked elevation of serum creatine kinase (CK) associated with olanzapine therapy.
A 39-year-old white Jewish schizophrenic man treated with olanzapine developed an elevated serum CK concentration with a peak concentration of 4000 IU/L (normal < 230). No other diagnostic criteria for neuroleptic malignant syndrome (NMS) were present. On discontinuation of the drug, serum CK concentrations returned to normal within eight days.
Olanzapine, like other atypical antipsychotic drugs, may cause muscle injury with concomitant elevations of serum CK of muscle origin. We suggest that in patients treated with olanzapine, CK concentrations should be checked on initiation of therapy, within the first 48 hours, and weekly thereafter for at least one month. In addition, patients with clinical signs suggestive of NMS should be monitored more carefully. For those patients with a history of NMS, or even of isolated serum CK elevation during antipsychotic therapy, follow-up should be stricter.
Marked elevation of serum CK may be a possible complication of olanzapine therapy.",1999,6
22,10414481,Diclofenac-associated hepatitis.,"This patient, who had a history of osteoarthritis, had severe hepatitis 5 weeks after being started on diclofenac for increasing pain in the joints. A week before the onset of hepatitis, the patient complained of upper gastrointestinal symptoms and was treated for gastritis. Seven days later, she had full-blown, severe hepatitis. Diclofenac was immediately stopped, leading to a complete restoration of liver functions over the course of the next few months. We highlight the importance of having a high index of suspicion for hepatic side effects of diclofenac and emphasize the need for increased awareness of this rare but potentially serious problem. We also review relevant literature regarding incidence and management.",1999,7
23,10426918,Remission of psoriasis after treatment with interferon-alfa and 2-chlordeoxyadenosine for hairy cell leukemia.,"2-Chlordeoxyadenosine (2-CdA) is an antineoplastic/immunosuppressive agent used to treat hairy cell leukemia (HCL), chronic lymphocytic leukemia, and low-grade lymphomas. Its immunomodulatory properties, however, may allow its future use in the treatment of psoriasis. We report a patient with psoriasis and HCL who was treated for 1 week with continuous intravenous infusion of 2-CdA for recurring HCL. Both the psoriasis and the HCL cleared. Four years after 2-CdA treatment, the patient has psoriasis on only 1% of his body surface area. 2-CdA induces lymphocytopenia, which may explain the improvement in this patient's psoriasis.",1999,8
24,10431414,Priapism as a complication of heparin therapy.,"One case of priapism occurred during heparin therapy for a previous surgical operation to the knee is reported. The association between heparin and priapism is often recognized; abnormal platelet aggregation could play a role in the pathogenesis of this side effect. A part from the kind of surgical treatment performed, priapism as a complication of heparin therapy might be functionally more severe than priapism due to other etiologies. Our observation would confirm this statement.",1999,6
25,10435399,Circadian rhythm of white blood cells during clozapine treatment.,"The atypical antipsychotic clozapine is effective in the treatment of patients with refractory schizophrenia. It carries a well-known risk of neutropenia and agranulocytosis, which necessitates the immediate discontinuation of clozapine.
We report a patient who developed neutropenia on clozapine, but behind the cell count decrease showed to be a diurnal variation of the white blood cells (WBC).
Due to the lack of efficacy of subsequent treatment of conventional and other atypical neuroleptics, treatment with clozapine was restarted after discontinuation. When the morning count of WBC began to fall, WBC count was repeated in the afternoons.
Careful blood cell monitoring showed a pronounced diurnal variation of WBC (2.9-4.2x10(9)/l in the morning and 3.6-7.1x10(9)/l in the afternoon) and granulocytes (0.8-1.4x10(9)/l and 2.9-5.5x10(9)/l, respectively).
Some patients may thus have a spuriously low cell count and may be unnecessarily denied effective treatment.",1999,6
26,10439378,Acute neutrophilic dermatosis induced by all-trans-retinoic acid treatment for acute promyelocytic leukemia.,"All-trans-retinoic acid (ATRA) is considered the recommended induction treatment for acute promyelocytic leukemia (APL). Although the dermatological side effects associated with ATRA treatment are relatively common, acute neutrophilic dermatosis (Sweet's syndrome) has only been rarely reported. We describe such a case who responded to chemotherapy and not to low doses of corticosteroids.",1999,7
27,10442258,Hair loss associated with paroxetine treatment: a case report.,"Alopecia and hair loss are rare side effects of psychotropic drugs. There are a few case reports on hair loss associated with tricyclic antidepressants and serotonin selective reuptake inhibitors (SSRIs), but none deal specifically with paroxetine. We report on a 37-year-old female who complained of moderate hair loss during paroxetine treatment. Findings on discontinuation and rechallenge supported the assumption that the hair loss was a side effect of the paroxetine. Further investigation is needed to determine the scope of this troubling side effect.",0,0
28,10452772,Protamine allergy as a complication of insulin hypersensitivity: A case report.,"Although most patients receiving insulin produce insulin-specific IgE, significant allergic symptoms develop in very few of them. Patients receiving neutral protamine Hagedorn (NPH) insulin are at increased risk for the development of protamine hypersensitivity. The case of a 19-year-old woman with insulin-dependent diabetes and regular and NPH insulin hypersensitivity is presented.
The purpose of this study was to determine whether desensitization to NPH insulin, as well as standard insulin desensitization, could control allergic symptoms in a patient allergic to both NPH and regular insulin.
The patient required insulin desensitization for severe urticaria, angioedema, and occasional wheezing resulting from her insulin dose. She underwent a standard protocol for insulin desensitization twice in a 2-month period, with persistence in her symptoms. She was found to have high protamine-specific, as well as insulin-specific, IgE levels, and because of her poor response to regular insulin desensitization, she was desensitized to both regular and NPH insulin.
Dual desensitization resulted in marked improvement in her symptoms. The patient had recurrence of urticaria and angioedema a year and a half later, at which point the NPH was stopped and she was desensitized to regular insulin. She continued to receive regular insulin 4 times per day over the following 3 years with only occasional hives.
Patients with insulin allergy may not have complete resolution of their symptoms after standard desensitization, particularly those patients with concomitant protamine allergy. These patients may require protamine/NPH desensitization, an alternative insulin preparation, or both.",1999,8
29,10458196,Apparent central nervous system depression in infants after the use of topical brimonidine.,"To report two cases in which topical brimonidine resulted in apparent central nervous system depression and unresponsiveness in an infant.
Review of two patients. An 11-day-old infant became lethargic and apneic after a single drop of brimonidine. These symptoms were reproduced after a second administration of brimonidine. A 5-month-old infant became lethargic and poorly responsive after receiving 1 drop of brimonidine in each eye.
The first patient required admission to the hospital for medical stabilization. He recovered without sequelae. The second patient recovered spontaneously approximately 2.5 hours after administration of brimonidine.
Topical brimonidine may be associated with central nervous system depression in infants. The use of brimonidine is not recommended in these patients until further data are available.",1999,8
30,10461415,Hepato-biliary abnormalities secondary to ceftriaxone use: a case report.,"Ceftriaxone was approved in 1997 for the treatment of otitis media despite previous studies that documented an association of ceftriaxone with elevated hepato-biliary enzymes and transient biliary stasis. The case cited here highlights the need for continued awareness education for physicians who may use ceftriaxone to treat common illnesses such as acute exudative tonsillitis and otitis media in children. Specifically, for children with a family history of gallbladder, biliary tract, liver or pancreas dysfunction, ceftriaxone may not be the drug of choice since the likelihood of complications is increased in this population. Additionally, ceftriaxone may cause problems in either adults or children with preexisting disease, who may not be well-nourished, or who may be dehydrated.",1999,8
31,10465148,Anterior lumbosacral radiculopathy after intrathecal methotrexate treatment.,"Intrathecal chemotherapy with methotrexate or cytosine arabinoside is the standard approach to prophylaxis and treatment of central nervous system leukemia in children. Progressive paraplegia, one of the devastating neurologic complications related to this mode of treatment, has been attributed to spinal cord toxicity. Reported are three children who developed progressive paraparesis after intrathecal methotrexate administration followed by complete or partial recovery. Gadolinium enhancement of anterior lumbosacral spinal nerve roots was demonstrated in all three patients, and an elevation of cerebrospinal fluid immunoglobulin G synthesis was evident in two patients with more severe symptoms. The clinical data suggest that anterior lumbosacral radiculopathy is also a type of neurologic complication associated with intrathecal methotrexate treatment.",1999,8
32,10466445,Successful treatment with arsenic trioxide of a patient with ATRA-resistant relapse of acute promyelocytic leukemia.,"Arsenic trioxide has recently been introduced as a promising new agent to treat refractory acute promyelocytic leukemia (APL). In the present study, arsenic trioxide was given intravenously for 42 days to a 56-year-old female patient suffering from chemotherapy/ATRA-resistant APL, with 43% APL blasts in the bone marrow and elevated D-dimers. During the first days of arsenic trioxide treatment a rapid decrease in the D-dimers was seen (normal values reached until day 7), together with a slight decrease in peripheral blood leukocytes. This initial coagulation response was followed by a second phase of hematological response (starting on days 15-20) characterized by leukocytosis, occurrence of myeloid progenitor cells in the peripheral blood, and a decrease in bone marrow blasts (<1% on days 28 and 36). Finally, the patient entered complete hematological and cytogenetic remission, although the PML-RAR alpha fusion product was still detectable by PCR. These data confirm the therapeutic value of arsenic trioxide in relapsed/resistant APL.",1999,7
33,10467499,An infectious mononucleosis-like syndrome induced by minocycline: a third pattern of adverse drug reaction.,"A 22-year-old black man developed fever, chills, fatigue, night sweats, tender lymphadenopathy, and a generalized, pruritic, macular eruption 3 weeks after starting minocycline therapy for acne. His illness was also characterized by a palpable spleen tip, marked lower extremity and scrotal edema, and generalized lymphadenopathy. The patient had leukocytosis with a large percentage of atypical lymphocytes on peripheral smear and liver dysfunction. Titers for Epstein-Barr virus, hepatitis B, toxoplasmosis; and cytomegalovirus were all negative. Human immunodeficiency virus-1 viral load and antibodies were also negative. Marked improvement was noted after the discontinuation of minocycline and the use of systemic corticosteroids. With the negative viral serologies, the clinical picture was most consistent with an infectious mononucleosis-like syndrome produced by the minocycline ingestion.",1999,8
34,10473079,Life-threatening toxicity in a dihydropyrimidine dehydrogenase-deficient patient after treatment with topical 5-fluorouracil.,"In humans, 80-90% of an administered dose of 5-fluorouracil (5-FU) is degraded by dihydropyrimidine dehydrogenase (DPD; EC 1.3.1.2), the initial rate-limiting enzyme in pyrimidine catabolism. Cancer patients with decreased DPD activity are at increased risk for severe toxicity including diarrhea, stomatitis, mucositis, myelosuppression, neurotoxicity, and, in some cases, death. We now report the first known cancer patient who developed life-threatening complications after treatment with topical 5-FU and was shown subsequently to have profound DPD deficiency. RT-PCR and genomic PCR methodologies were used to identify a G to A mutation in the GT 5' splicing recognition sequence of intron 14, resulting in a 165-bp deletion (corresponding to exon 14) in this patient's DPD mRNA. Immunoprecipitation and Western blot analysis were then used to demonstrate that the aberrant DPD mRNA is translated into a nonfunctional DPD protein that is ubiquitinated. We conclude that the presence of this metabolic defect combined with topical 5-FU (a drug demonstrating a narrow therapeutic index) results in the unusual presentation of life-threatening toxicity after treatment with a topical drug. These data further suggest that degradation by the ubiquitin-proteosome-mediated system plays a role in the elimination of the DPD protein.",1999,8
35,10475726,An acute ischaemic event associated with the use of venlafaxine: a case report and proposed pathophysiological mechanisms.,"Venlafaxine, a structurally novel antidepressant, belongs to a new generation of antidepressants--the serotonin/noradrenaline reuptake inhibitors. In clinical trials, venlafaxine was found safe and effective in most patients. However, significant changes in vital signs (hyper- and hypotension) and cardiac conduction abnormalities were observed in a few patients, notably in elderly patients. We present a case of an elderly woman with a pre-existing history of ischaemic heart disease, who was treated with venlafaxine, and developed acute myocardial ischaemia within the first week of treatment. This is the first report of a possible association between an acute cardiovascular event and venlafaxine. The association of venlafaxine treatment with ischaemic events could be explained by its unique pharmacological and haemodynamic properties.",1999,0
36,10482872,Apparent cyclophosphamide (cytoxan) embryopathy: a distinct phenotype?,"Cyclophosphamide (CP) is an alkylating agent widely used in treating cancer and autoimmune disease. CP is classified as a pregnancy risk factor D drug and is teratogenic in animals, but population studies have not conclusively demonstrated teratogenicity in humans. Six isolated reports of prenatally exposed infants with various congenital anomalies exist, but to date no specific phenotype has been delineated. The purpose of this report is to document a new case of in utero CP exposure with multiple congenital anomalies and to establish an apparent CP embryopathy phenotype. The mother had systemic lupus erythematosus and cyclophosphamide exposure in the first trimester. She also took nifedipine, atenolol, clonidine, prednisone, aspirin, and potassium chloride throughout pregnancy. The infant had growth retardation and multiple anomalies including microbrachycephaly, coronal craniosynostosis, hypotelorism, shallow orbits, proptosis, blepharophimosis, small, abnormal ears, unilateral preauricular pit, broad, flat nasal bridge, microstomia, high-arched palate, micrognathia, preaxial upper limb and postaxial lower limb defects consisting of hypoplastic thumbs, and bilateral absence of the 4th and 5th toes. Chromosomes were apparently normal. The reported cases of in utero exposure to cyclosposphamide shared the following manifestations with our patient: growth deficiency, developmental delay, craniosynostosis, blepharophimosis, flat nasal bridge, abnormal ears, and distal limb defects including hypoplastic thumbs and oligodactyly. We conclude that (a) cyclophosphamide is a human teratogen, (b) a distinct phenotype exists, and (c) the safety of CP in pregnancy is in serious question.",1999,9
37,10487084,Paradoxical seizures in phenytoin toxicity.,"Phenytoin toxicity is an uncommon problem seen in clinical practice. The predisposing factors for toxicity are hypoalbuminemia, chronic renal failure, hepatic dysfunction and drugs which interfere with phenytoin metabolism. Common manifestations of toxicity, like confusion and ataxia, are well known. A less well known phenomenon is paradoxical seizures. In this condition, seizures develop as the serum phenytoin level rises and decrease in frequency as levels drop. It may or may not be accompanied by other features of toxicity. We present three patients with paradoxical seizures; their serum phenytoin levels were 43.5 mcg/mL, 46.5 mcg/mL and 38.3 mcg/mL. In all cases, seizures were controlled by withdrawal of phenytoin and reduction of drug levels.",1999,4
38,10492493,Losartan-induced angioedema.,"To report a case of angioedema associated with losartan administration.
A 45-year-old white man with a history of hypertension and gout was treated with losartan/hydrochlorothiazide, allopurinol, and colchicine. The patient experienced two episodes of angioedema within a 10-hour period. On both occasions the symptoms resolved after treatment.
Angiotensin-converting enzyme (ACE) inhibitors are associated with a relatively high incidence of angioedema. The incidence of angioedema secondary to losartan, an angiotensin II receptor antagonist, is unknown. The patient reported in this case differs significantly from the two cases reported in the literature because he had normal renal function, no previous exposure to ACE inhibitors, the reaction was of late onset, and the symptoms recurred.
This case suggests that losartan can induce late-onset angioedema in patients with normal renal function and that the reaction can recur after initial resolution of the symptoms.",1999,9
39,10494874,Danazol and multiple hepatic adenomas: peculiar clinical findings in an acromegalic patient.,"Hepatic adenomas are rare tumors; they have been associated with the use of anabolic steroids. Acromegaly increases the overall risk of neoplasms. We report the case of a female acromegalic patient in whom multiple hepatic adenomas appeared soon after danazol treatment for uterine fibromatosis. Treatment of acromegaly with octreotide, followed by successful selective pituitary adenomectomy, stabilized the number and the size of the liver tumors. We suggest that oversecretions of GH and IGF-I were strong promoting factors for liver tumorigenesis in this patient.",1999,8
40,10510017,Pediatric heparin-induced thrombocytopenia: management with Danaparoid (orgaran).,"Heparin-induced thrombocytopenia is a rare and serious complication of anticoagulation therapy. There remains a paucity of information pertaining to alternative anticoagulation strategies for use during cardiopulmonary bypass concomitant with heparin-induced thrombocytopenia, especially in children. We report the successful treatment of heparin-induced thrombocytopenia and subsequent hemorrhagic complications postoperatively in a 2-year-old child with Danaparoid (orgaran). Emergent conduit revision with cardiopulmonary bypass was required for a thrombosed systemic-venous to pulmonary-arterial connection (completion modified Fontan procedure). Required doses of Danaparoid were consistently twofold that previously reported for adults.",1999,9
41,10513720,Taxane-induced glaucoma.,We report a case of glaucoma induced by doxetaxel therapy for metastatic breast cancer. The disorder recurred during treatment with paclitaxel.,1999,10
