,Type,UI,PubmedID,NameOfSubstance,RegistryNumber,MeshHeadingID,DescriptorName,MajorTopicYN,QualifierName
46,DescriptorName,D004097,10048291,,,2,Dihydrotachysterol,N,
47,QualifierName,Q000009,10048291,,,2,,Y,adverse effects
48,DescriptorName,D005260,10048291,,,3,Female,N,
49,DescriptorName,D019918,10048291,,,4,Heart Valve Prosthesis Implantation,N,
50,QualifierName,Q000009,10048291,,,4,,N,adverse effects
51,DescriptorName,D006801,10048291,,,5,Humans,N,
52,DescriptorName,D006934,10048291,,,6,Hypercalcemia,N,
53,QualifierName,Q000139,10048291,,,6,,Y,chemically induced
54,DescriptorName,D007011,10048291,,,7,Hypoparathyroidism,N,
55,QualifierName,Q000188,10048291,,,7,,Y,drug therapy
56,DescriptorName,D008875,10048291,,,8,Middle Aged,N,
57,DescriptorName,D010001,10048291,,,9,Osteitis Deformans,N,
58,QualifierName,Q000150,10048291,,,9,,N,complications
59,DescriptorName,D019338,10048291,,,10,Polypharmacy,N,
60,DescriptorName,D011183,10048291,,,11,Postoperative Complications,N,
61,QualifierName,Q000188,10048291,,,11,,N,drug therapy
62,DescriptorName,D011512,10048291,,,12,Proteus Infections,N,
63,QualifierName,Q000150,10048291,,,12,,Y,complications
64,DescriptorName,D006435,10048291,,,13,Renal Dialysis,N,
65,DescriptorName,D013964,10048291,,,14,Thyroid Neoplasms,N,
66,QualifierName,Q000601,10048291,,,14,,N,surgery
67,DescriptorName,D013965,10048291,,,15,Thyroidectomy,N,
68,QualifierName,Q000009,10048291,,,15,,N,adverse effects
69,DescriptorName,D016896,10048291,,,16,Treatment Outcome,N,
70,DescriptorName,D014552,10048291,,,17,Urinary Tract Infections,N,
71,QualifierName,Q000150,10048291,,,17,,N,complications
72,Chemical,D000894,10082597,"Anti-Inflammatory Agents, Non-Steroidal",0,,,,
73,Chemical,D011422,10082597,Propionates,0,,,,
74,Chemical,D009288,10082597,Naproxen,57Y76R9ATQ,,,,
75,Chemical,D000077431,10082597,Oxaprozin,MHJ80W9LRB,,,,
76,DescriptorName,D000328,10082597,,,1,Adult,N,
77,DescriptorName,D000894,10082597,,,2,"Anti-Inflammatory Agents, Non-Steroidal",N,
78,QualifierName,Q000009,10082597,,,2,,Y,adverse effects
79,DescriptorName,D001171,10082597,,,3,"Arthritis, Juvenile",N,
80,QualifierName,Q000188,10082597,,,3,,N,drug therapy
81,DescriptorName,D003875,10082597,,,4,Drug Eruptions,N,
82,QualifierName,Q000209,10082597,,,4,,N,etiology
83,DescriptorName,D005260,10082597,,,5,Female,N,
84,DescriptorName,D006801,10082597,,,6,Humans,N,
85,DescriptorName,D017116,10082597,,,7,Low Back Pain,N,
86,QualifierName,Q000188,10082597,,,7,,N,drug therapy
87,DescriptorName,D008297,10082597,,,8,Male,N,
88,DescriptorName,D009288,10082597,,,9,Naproxen,N,
89,QualifierName,Q000009,10082597,,,9,,Y,adverse effects
90,DescriptorName,D000077431,10082597,,,10,Oxaprozin,N,
91,DescriptorName,D010787,10082597,,,11,Photosensitivity Disorders,N,
92,QualifierName,Q000139,10082597,,,11,,N,chemically induced
93,DescriptorName,D011164,10082597,,,12,Porphyrias,N,
94,QualifierName,Q000139,10082597,,,12,,Y,chemically induced
95,DescriptorName,D011422,10082597,,,13,Propionates,N,
96,QualifierName,Q000009,10082597,,,13,,Y,adverse effects
97,DescriptorName,D012872,10082597,,,14,"Skin Diseases, Vesiculobullous",N,
98,QualifierName,Q000139,10082597,,,14,,N,chemically induced
99,Chemical,D014150,10084639,Antipsychotic Agents,0,,,,
100,Chemical,D001569,10084639,Benzodiazepines,12794-10-4,,,,
101,Chemical,D010890,10084639,Pirenzepine,3G0285N20N,,,,
102,Chemical,D003024,10084639,Clozapine,J60AR2IKIC,,,,
103,Chemical,D000077152,10084639,Olanzapine,N7U69T4SZR,,,,
104,DescriptorName,D000328,10084639,,,1,Adult,N,
105,DescriptorName,D000380,10084639,,,2,Agranulocytosis,N,
106,QualifierName,Q000097,10084639,,,2,,N,blood
107,DescriptorName,D014150,10084639,,,3,Antipsychotic Agents,N,
108,QualifierName,Q000009,10084639,,,3,,N,adverse effects
109,DescriptorName,D001569,10084639,,,4,Benzodiazepines,N,
110,DescriptorName,D003024,10084639,,,5,Clozapine,N,
111,QualifierName,Q000009,10084639,,,5,,Y,adverse effects
112,DescriptorName,D005500,10084639,,,6,Follow-Up Studies,N,
113,DescriptorName,D006801,10084639,,,7,Humans,N,
114,DescriptorName,D007958,10084639,,,8,Leukocyte Count,N,
115,DescriptorName,D008297,10084639,,,9,Male,N,
116,DescriptorName,D000077152,10084639,,,10,Olanzapine,N,
117,DescriptorName,D010890,10084639,,,11,Pirenzepine,N,
118,QualifierName,Q000031,10084639,,,11,,Y,analogs & derivatives
119,DescriptorName,D011569,10084639,,,12,Psychiatric Status Rating Scales,N,
120,DescriptorName,D012559,10084639,,,13,Schizophrenia,N,
121,QualifierName,Q000175,10084639,,,13,,N,diagnosis
122,DescriptorName,D012565,10084639,,,14,Schizophrenic Psychology,N,
123,DescriptorName,D016896,10084639,,,15,Treatment Outcome,N,
124,Chemical,D010088,10099659,Oxidoreductases,EC 1.-,,,,
125,Chemical,D042943,10099659,Dihydrouracil Dehydrogenase (NADP),EC 1.3.1.2,,,,
126,Chemical,D005472,10099659,Fluorouracil,U3P01618RT,,,,
127,DescriptorName,D003110,10099659,,,1,Colonic Neoplasms,N,
128,QualifierName,Q000150,10099659,,,1,,N,complications
129,DescriptorName,D042943,10099659,,,2,Dihydrouracil Dehydrogenase (NADP),N,
130,DescriptorName,D005472,10099659,,,3,Fluorouracil,N,
131,QualifierName,Q000009,10099659,,,3,,Y,adverse effects
132,DescriptorName,D006801,10099659,,,4,Humans,N,
133,DescriptorName,D008297,10099659,,,5,Male,N,
134,DescriptorName,D008875,10099659,,,6,Middle Aged,N,
135,DescriptorName,D009422,10099659,,,7,Nervous System Diseases,N,
136,QualifierName,Q000139,10099659,,,7,,Y,chemically induced
137,DescriptorName,D010088,10099659,,,8,Oxidoreductases,N,
138,QualifierName,Q000172,10099659,,,8,,Y,deficiency
139,Chemical,D000970,10102531,Antineoplastic Agents,0,,,,
140,Chemical,D003561,10102531,Cytarabine,04079A1RDZ,,,,
141,Chemical,C015019,10102531,enocitabine,9YVR68W306,,,,
142,DescriptorName,D000293,10102531,,,1,Adolescent,N,
143,DescriptorName,D000970,10102531,,,2,Antineoplastic Agents,N,
144,QualifierName,Q000009,10102531,,,2,,Y,adverse effects
145,DescriptorName,D001921,10102531,,,3,Brain,N,
146,QualifierName,Q000000981,10102531,,,3,,N,diagnostic imaging
147,DescriptorName,D003561,10102531,,,4,Cytarabine,N,
148,QualifierName,Q000009,10102531,,,4,,N,adverse effects
149,DescriptorName,D005260,10102531,,,5,Female,N,
150,DescriptorName,D006801,10102531,,,6,Humans,N,
151,DescriptorName,D015470,10102531,,,7,"Leukemia, Myeloid, Acute",N,
152,QualifierName,Q000150,10102531,,,7,,Y,complications
153,DescriptorName,D008279,10102531,,,8,Magnetic Resonance Imaging,N,
154,DescriptorName,D011859,10102531,,,9,Radiography,N,
155,DescriptorName,D012640,10102531,,,10,Seizures,N,
156,QualifierName,Q000139,10102531,,,10,,N,chemically induced
157,Chemical,D018691,10190739,Excitatory Amino Acid Antagonists,0,,,,
158,Chemical,D019782,10190739,Riluzole,7LJ087RS6F,,,,
159,DescriptorName,D000208,10190739,,,1,Acute Disease,N,
160,DescriptorName,D000368,10190739,,,2,Aged,N,
161,DescriptorName,D056486,10190739,,,3,Chemical and Drug Induced Liver Injury,Y,
162,DescriptorName,D018691,10190739,,,4,Excitatory Amino Acid Antagonists,N,
163,QualifierName,Q000008,10190739,,,4,,N,administration & dosage
164,DescriptorName,D005260,10190739,,,5,Female,N,
165,DescriptorName,D006801,10190739,,,6,Humans,N,
166,DescriptorName,D008297,10190739,,,7,Male,N,
167,DescriptorName,D008875,10190739,,,8,Middle Aged,N,
168,DescriptorName,D019782,10190739,,,9,Riluzole,N,
169,QualifierName,Q000008,10190739,,,9,,N,administration & dosage
170,DescriptorName,D012595,10190739,,,10,"Scleroderma, Systemic",N,
171,QualifierName,Q000188,10190739,,,10,,N,drug therapy
172,Chemical,D000894,10203437,"Anti-Inflammatory Agents, Non-Steroidal",0,,,,
173,Chemical,D000974,10203437,"Antibodies, Antinuclear",0,,,,
174,Chemical,D019804,10203437,Mesalamine,4Q81I59GXC,,,,
175,DescriptorName,D000328,10203437,,,1,Adult,N,
176,DescriptorName,D000368,10203437,,,2,Aged,N,
177,DescriptorName,D000894,10203437,,,3,"Anti-Inflammatory Agents, Non-Steroidal",N,
178,QualifierName,Q000009,10203437,,,3,,Y,adverse effects
179,DescriptorName,D000974,10203437,,,4,"Antibodies, Antinuclear",N,
180,QualifierName,Q000032,10203437,,,4,,N,analysis
181,DescriptorName,D003240,10203437,,,5,Connective Tissue Diseases,N,
182,QualifierName,Q000139,10203437,,,5,,Y,chemically induced
183,DescriptorName,D003424,10203437,,,6,Crohn Disease,N,
184,QualifierName,Q000188,10203437,,,6,,Y,drug therapy
185,DescriptorName,D005260,10203437,,,7,Female,N,
186,DescriptorName,D006801,10203437,,,8,Humans,N,
187,DescriptorName,D008180,10203437,,,9,"Lupus Erythematosus, Systemic",N,
188,QualifierName,Q000139,10203437,,,9,,Y,chemically induced
189,DescriptorName,D008297,10203437,,,10,Male,N,
190,DescriptorName,D019804,10203437,,,11,Mesalamine,N,
191,QualifierName,Q000009,10203437,,,11,,Y,adverse effects
192,DescriptorName,D008875,10203437,,,12,Middle Aged,N,
193,Chemical,D000468,10225085,Alkalies,0,,,,
194,Chemical,D000779,10225085,"Anesthetics, Local",0,,,,
195,Chemical,D000931,10225085,Antidotes,0,,,,
196,Chemical,D016877,10225085,Oxidants,0,,,,
197,Chemical,D017693,10225085,Sodium Bicarbonate,8MDF5V39QO,,,,
198,Chemical,D008012,10225085,Lidocaine,98PI200987,,,,
199,Chemical,D008751,10225085,Methylene Blue,T42P99266K,,,,
200,Chemical,D002045,10225085,Bupivacaine,Y8335394RO,,,,
201,DescriptorName,D000138,10225085,,,1,Acidosis,N,
202,QualifierName,Q000150,10225085,,,1,,N,complications
203,DescriptorName,D000468,10225085,,,2,Alkalies,N,
204,QualifierName,Q000627,10225085,,,2,,N,therapeutic use
205,DescriptorName,D000779,10225085,,,3,"Anesthetics, Local",N,
206,QualifierName,Q000008,10225085,,,3,,N,administration & dosage
207,DescriptorName,D000931,10225085,,,4,Antidotes,N,
208,QualifierName,Q000627,10225085,,,4,,N,therapeutic use
209,DescriptorName,D001365,10225085,,,5,Axilla,N,
210,QualifierName,Q000294,10225085,,,5,,Y,innervation
211,DescriptorName,D002045,10225085,,,6,Bupivacaine,N,
212,QualifierName,Q000008,10225085,,,6,,N,administration & dosage
213,DescriptorName,D004347,10225085,,,7,Drug Interactions,N,
214,DescriptorName,D005260,10225085,,,8,Female,N,
215,DescriptorName,D006801,10225085,,,9,Humans,N,
216,DescriptorName,D007430,10225085,,,10,Intraoperative Care,N,
217,DescriptorName,D007676,10225085,,,11,"Kidney Failure, Chronic",N,
218,QualifierName,Q000150,10225085,,,11,,N,complications
219,DescriptorName,D008012,10225085,,,12,Lidocaine,N,
220,QualifierName,Q000008,10225085,,,12,,N,administration & dosage
221,DescriptorName,D008708,10225085,,,13,Methemoglobinemia,N,
222,QualifierName,Q000139,10225085,,,13,,Y,chemically induced
223,DescriptorName,D008751,10225085,,,14,Methylene Blue,N,
224,QualifierName,Q000627,10225085,,,14,,N,therapeutic use
225,DescriptorName,D008875,10225085,,,15,Middle Aged,N,
226,DescriptorName,D017202,10225085,,,16,Myocardial Ischemia,N,
227,QualifierName,Q000150,10225085,,,16,,N,complications
228,DescriptorName,D009407,10225085,,,17,Nerve Block,N,
229,QualifierName,Q000009,10225085,,,17,,Y,adverse effects
230,DescriptorName,D016877,10225085,,,18,Oxidants,N,
231,QualifierName,Q000627,10225085,,,18,,N,therapeutic use
232,DescriptorName,D011485,10225085,,,19,Protein Binding,N,
233,QualifierName,Q000187,10225085,,,19,,N,drug effects
234,DescriptorName,D017693,10225085,,,20,Sodium Bicarbonate,N,
235,QualifierName,Q000627,10225085,,,20,,N,therapeutic use
236,Chemical,D000305,10229976,Adrenal Cortex Hormones,0,,,,
237,Chemical,D001241,10229976,Aspirin,R16CO5Y76E,,,,
238,DescriptorName,D000305,10229976,,,1,Adrenal Cortex Hormones,N,
239,QualifierName,Q000008,10229976,,,1,,N,administration & dosage
240,DescriptorName,D001241,10229976,,,2,Aspirin,N,
241,QualifierName,Q000009,10229976,,,2,,Y,adverse effects
242,DescriptorName,D001249,10229976,,,3,Asthma,N,
243,QualifierName,Q000139,10229976,,,3,,Y,chemically induced
244,DescriptorName,D001707,10229976,,,4,"Biopsy, Needle",N,
245,DescriptorName,D004802,10229976,,,5,Eosinophilia,N,
246,QualifierName,Q000209,10229976,,,5,,N,etiology
247,DescriptorName,D004804,10229976,,,6,Eosinophils,N,
248,QualifierName,Q000473,10229976,,,6,,Y,pathology
249,DescriptorName,D005500,10229976,,,7,Follow-Up Studies,N,
250,DescriptorName,D006801,10229976,,,8,Humans,N,
251,DescriptorName,D007150,10229976,,,9,Immunohistochemistry,N,
252,DescriptorName,D007958,10229976,,,10,Leukocyte Count,N,
253,DescriptorName,D008297,10229976,,,11,Male,N,
254,DescriptorName,D008875,10229976,,,12,Middle Aged,N,
255,DescriptorName,D009297,10229976,,,13,Nasal Mucosa,N,
256,QualifierName,Q000166,10229976,,,13,,N,cytology
257,DescriptorName,D009298,10229976,,,14,Nasal Polyps,N,
258,QualifierName,Q000209,10229976,,,14,,Y,etiology
259,DescriptorName,D012008,10229976,,,15,Recurrence,N,
260,Chemical,D008727,10327035,Methotrexate,YL5FZ2Y5U1,,,,
261,DescriptorName,D000208,10327035,,,1,Acute Disease,N,
262,DescriptorName,D000328,10327035,,,2,Adult,N,
263,DescriptorName,D000971,10327035,,,3,Antineoplastic Combined Chemotherapy Protocols,N,
264,QualifierName,Q000009,10327035,,,3,,Y,adverse effects
265,DescriptorName,D001927,10327035,,,4,Brain Diseases,N,
266,QualifierName,Q000139,10327035,,,4,,Y,chemically induced
267,DescriptorName,D006801,10327035,,,5,Humans,N,
268,DescriptorName,D008279,10327035,,,6,Magnetic Resonance Imaging,N,
269,DescriptorName,D008297,10327035,,,7,Male,N,
270,DescriptorName,D008727,10327035,,,8,Methotrexate,N,
271,QualifierName,Q000008,10327035,,,8,,N,administration & dosage
272,DescriptorName,D013274,10327035,,,9,Stomach Neoplasms,N,
273,QualifierName,Q000188,10327035,,,9,,Y,drug therapy
274,Chemical,D000959,10332990,Antihypertensive Agents,0,,,,
275,Chemical,D011464,10332990,Epoprostenol,DCR9Z582X0,,,,
276,DescriptorName,D000959,10332990,,,1,Antihypertensive Agents,N,
277,QualifierName,Q000009,10332990,,,1,,Y,adverse effects
278,DescriptorName,D011464,10332990,,,2,Epoprostenol,N,
279,QualifierName,Q000009,10332990,,,2,,Y,adverse effects
280,DescriptorName,D005260,10332990,,,3,Female,N,
281,DescriptorName,D006801,10332990,,,4,Humans,N,
282,DescriptorName,D006976,10332990,,,5,"Hypertension, Pulmonary",N,
283,QualifierName,Q000150,10332990,,,5,,Y,complications
284,DescriptorName,D008875,10332990,,,6,Middle Aged,N,
285,DescriptorName,D011654,10332990,,,7,Pulmonary Edema,N,
286,QualifierName,Q000139,10332990,,,7,,Y,chemically induced
287,DescriptorName,D012594,10332990,,,8,"Scleroderma, Localized",N,
288,QualifierName,Q000150,10332990,,,8,,Y,complications
289,Chemical,D000893,10337682,Anti-Inflammatory Agents,0,,,,
290,Chemical,D011239,10337682,Prednisolone,9PHQ9Y1OLM,,,,
291,Chemical,D008775,10337682,Methylprednisolone,X4W7ZR7023,,,,
292,DescriptorName,D000293,10337682,,,1,Adolescent,N,
293,DescriptorName,D000893,10337682,,,2,Anti-Inflammatory Agents,N,
294,QualifierName,Q000009,10337682,,,2,,Y,adverse effects
295,DescriptorName,D001706,10337682,,,3,Biopsy,N,
296,DescriptorName,D003875,10337682,,,4,Drug Eruptions,N,
297,QualifierName,Q000209,10337682,,,4,,Y,etiology
298,DescriptorName,D005260,10337682,,,5,Female,N,
299,DescriptorName,D006801,10337682,,,6,Humans,N,
300,DescriptorName,D008180,10337682,,,7,"Lupus Erythematosus, Systemic",N,
301,QualifierName,Q000188,10337682,,,7,,Y,drug therapy
302,DescriptorName,D008775,10337682,,,8,Methylprednisolone,N,
303,QualifierName,Q000627,10337682,,,8,,N,therapeutic use
304,DescriptorName,D011239,10337682,,,9,Prednisolone,N,
305,QualifierName,Q000009,10337682,,,9,,Y,adverse effects
306,DescriptorName,D012867,10337682,,,10,Skin,N,
307,QualifierName,Q000473,10337682,,,10,,N,pathology
308,Chemical,D006918,10348150,Hydroxyurea,X6Q56QN5QC,,,,
309,DescriptorName,D006801,10348150,,,1,Humans,N,
310,DescriptorName,D006918,10348150,,,2,Hydroxyurea,N,
311,QualifierName,Q000009,10348150,,,2,,Y,adverse effects
312,DescriptorName,D017563,10348150,,,3,"Lung Diseases, Interstitial",N,
313,QualifierName,Q000139,10348150,,,3,,Y,chemically induced
314,DescriptorName,D008297,10348150,,,4,Male,N,
315,DescriptorName,D008875,10348150,,,5,Middle Aged,N,
316,DescriptorName,D013902,10348150,,,6,"Radiography, Thoracic",N,
317,DescriptorName,D013920,10348150,,,7,"Thrombocythemia, Essential",N,
318,QualifierName,Q000150,10348150,,,7,,Y,complications
319,Chemical,D003879,10357715,Dermatologic Agents,0,,,,
320,Chemical,C055085,10357715,calcipotriene,143NQ3779B,,,,
321,Chemical,D002117,10357715,Calcitriol,FXC9231JVH,,,,
322,DescriptorName,D000287,10357715,,,1,"Administration, Topical",N,
323,DescriptorName,D000368,10357715,,,2,Aged,N,
324,DescriptorName,D002117,10357715,,,3,Calcitriol,N,
325,QualifierName,Q000009,10357715,,,3,,N,adverse effects
326,DescriptorName,D003879,10357715,,,4,Dermatologic Agents,N,
327,QualifierName,Q000009,10357715,,,4,,Y,adverse effects
328,DescriptorName,D003875,10357715,,,5,Drug Eruptions,N,
329,QualifierName,Q000175,10357715,,,5,,N,diagnosis
330,DescriptorName,D005260,10357715,,,6,Female,N,
331,DescriptorName,D006801,10357715,,,7,Humans,N,
332,DescriptorName,D008875,10357715,,,8,Middle Aged,N,
333,DescriptorName,D010328,10357715,,,9,Patch Tests,N,
334,DescriptorName,D011565,10357715,,,10,Psoriasis,N,
335,QualifierName,Q000188,10357715,,,10,,N,drug therapy
336,Chemical,D000924,10367184,Anticholesteremic Agents,0,,,,
337,Chemical,D017035,10367184,Pravastatin,KXO2KT9N0G,,,,
338,DescriptorName,D000328,10367184,,,1,Adult,N,
339,DescriptorName,D000924,10367184,,,2,Anticholesteremic Agents,N,
340,QualifierName,Q000009,10367184,,,2,,Y,adverse effects
341,DescriptorName,D006801,10367184,,,3,Humans,N,
342,DescriptorName,D008297,10367184,,,4,Male,N,
343,DescriptorName,D009222,10367184,,,5,Myotonia,N,
344,QualifierName,Q000139,10367184,,,5,,N,chemically induced
345,DescriptorName,D017035,10367184,,,6,Pravastatin,N,
346,QualifierName,Q000009,10367184,,,6,,Y,adverse effects
347,DescriptorName,D012507,10367184,,,7,Sarcoidosis,N,
348,QualifierName,Q000150,10367184,,,7,,Y,complications
349,Chemical,D001241,10393393,Aspirin,R16CO5Y76E,,,,
350,DescriptorName,D000328,10393393,,,1,Adult,N,
351,DescriptorName,D000368,10393393,,,2,Aged,N,
352,DescriptorName,D001241,10393393,,,3,Aspirin,N,
353,QualifierName,Q000008,10393393,,,3,,N,administration & dosage
354,DescriptorName,D001249,10393393,,,4,Asthma,N,
355,QualifierName,Q000139,10393393,,,4,,N,chemically induced
356,DescriptorName,D003888,10393393,,,5,"Desensitization, Immunologic",Y,
357,DescriptorName,D003937,10393393,,,6,"Diagnosis, Differential",N,
358,DescriptorName,D004305,10393393,,,7,"Dose-Response Relationship, Drug",N,
359,DescriptorName,D003875,10393393,,,8,Drug Eruptions,N,
360,QualifierName,Q000175,10393393,,,8,,N,diagnosis
361,DescriptorName,D004342,10393393,,,9,Drug Hypersensitivity,N,
362,QualifierName,Q000175,10393393,,,9,,N,diagnosis
363,DescriptorName,D005260,10393393,,,10,Female,N,
364,DescriptorName,D006801,10393393,,,11,Humans,N,
365,DescriptorName,D008297,10393393,,,12,Male,N,
366,DescriptorName,D008875,10393393,,,13,Middle Aged,N,
367,DescriptorName,D009203,10393393,,,14,Myocardial Infarction,N,
368,QualifierName,Q000188,10393393,,,14,,Y,drug therapy
369,DescriptorName,D016896,10393393,,,15,Treatment Outcome,N,
370,Chemical,D004791,10395123,Enzyme Inhibitors,0,,,,
371,Chemical,D009853,10395123,Omeprazole,KG60484QX9,,,,
372,DescriptorName,D000328,10395123,,,1,Adult,N,
373,DescriptorName,D003937,10395123,,,2,"Diagnosis, Differential",N,
374,DescriptorName,D003875,10395123,,,3,Drug Eruptions,N,
375,QualifierName,Q000209,10395123,,,3,,Y,etiology
376,DescriptorName,D004791,10395123,,,4,Enzyme Inhibitors,N,
377,QualifierName,Q000009,10395123,,,4,,Y,adverse effects
378,DescriptorName,D005260,10395123,,,5,Female,N,
379,DescriptorName,D005764,10395123,,,6,Gastroesophageal Reflux,N,
380,QualifierName,Q000188,10395123,,,6,,N,drug therapy
381,DescriptorName,D006229,10395123,,,7,Hand Dermatoses,N,
382,QualifierName,Q000139,10395123,,,7,,Y,chemically induced
383,DescriptorName,D006801,10395123,,,8,Humans,N,
384,DescriptorName,D009853,10395123,,,9,Omeprazole,N,
385,QualifierName,Q000009,10395123,,,9,,Y,adverse effects
386,Chemical,D000893,10405480,Anti-Inflammatory Agents,0,,,,
387,Chemical,D005765,10405480,Gastrointestinal Agents,0,,,,
388,Chemical,D012460,10405480,Sulfasalazine,3XC8GUZ6CB,,,,
389,Chemical,D011239,10405480,Prednisolone,9PHQ9Y1OLM,,,,
390,DescriptorName,D000328,10405480,,,1,Adult,N,
391,DescriptorName,D000893,10405480,,,2,Anti-Inflammatory Agents,N,
392,QualifierName,Q000008,10405480,,,2,,N,administration & dosage
393,DescriptorName,D001707,10405480,,,3,"Biopsy, Needle",N,
394,DescriptorName,D003093,10405480,,,4,"Colitis, Ulcerative",N,
395,QualifierName,Q000188,10405480,,,4,,N,drug therapy
396,DescriptorName,D003875,10405480,,,5,Drug Eruptions,N,
397,QualifierName,Q000188,10405480,,,5,,N,drug therapy
398,DescriptorName,D005765,10405480,,,6,Gastrointestinal Agents,N,
399,QualifierName,Q000009,10405480,,,6,,Y,adverse effects
400,DescriptorName,D006801,10405480,,,7,Humans,N,
401,DescriptorName,D008297,10405480,,,8,Male,N,
402,DescriptorName,D010328,10405480,,,9,Patch Tests,N,
403,DescriptorName,D011239,10405480,,,10,Prednisolone,N,
404,QualifierName,Q000008,10405480,,,10,,N,administration & dosage
405,DescriptorName,D012872,10405480,,,11,"Skin Diseases, Vesiculobullous",N,
406,QualifierName,Q000139,10405480,,,11,,Y,chemically induced
407,DescriptorName,D012460,10405480,,,12,Sulfasalazine,N,
408,QualifierName,Q000009,10405480,,,12,,Y,adverse effects
409,DescriptorName,D016896,10405480,,,13,Treatment Outcome,N,
410,Chemical,D014150,10410183,Antipsychotic Agents,0,,,,
411,Chemical,D001569,10410183,Benzodiazepines,12794-10-4,,,,
412,Chemical,D010890,10410183,Pirenzepine,3G0285N20N,,,,
413,Chemical,D003402,10410183,Creatine Kinase,EC 2.7.3.2,,,,
414,Chemical,D000077152,10410183,Olanzapine,N7U69T4SZR,,,,
415,DescriptorName,D000328,10410183,,,1,Adult,N,
416,DescriptorName,D014150,10410183,,,2,Antipsychotic Agents,N,
417,QualifierName,Q000009,10410183,,,2,,Y,adverse effects
418,DescriptorName,D001569,10410183,,,3,Benzodiazepines,N,
419,DescriptorName,D002908,10410183,,,4,Chronic Disease,N,
420,DescriptorName,D003402,10410183,,,5,Creatine Kinase,N,
421,QualifierName,Q000097,10410183,,,5,,Y,blood
422,DescriptorName,D006801,10410183,,,6,Humans,N,
423,DescriptorName,D008297,10410183,,,7,Male,N,
424,DescriptorName,D000077152,10410183,,,8,Olanzapine,N,
425,DescriptorName,D010890,10410183,,,9,Pirenzepine,N,
426,QualifierName,Q000009,10410183,,,9,,N,adverse effects
427,DescriptorName,D012206,10410183,,,10,Rhabdomyolysis,N,
428,QualifierName,Q000139,10410183,,,10,,N,chemically induced
429,DescriptorName,D012559,10410183,,,11,Schizophrenia,N,
430,QualifierName,Q000150,10410183,,,11,,N,complications
431,Chemical,D000894,10414481,"Anti-Inflammatory Agents, Non-Steroidal",0,,,,
